,Sentence,test
181,근데 정보가 많진 않으니 선뜻 지원하기가 쉽지않네요,괴로움
182,남자친구가 가끔 동영상찍거든요..,괴로움
183,제가 하기엔 너무 힘들까요?,괴로움
184,4년제 대학 졸업장만으로 취직이 될까요?,괴로움
185,너무 부담이 되네요 ;,괴로움
186,입사해도 괜찮을까요?,괴로움
187,신체검사 할때 혈압약 먹어도 이상없는걸까요?,괴로움
188,군대가면 남자들은 맘 변한다고 그러는데 진짜인가요..?,괴로움
189,이런문제 어디에 물어봐야되나요?,괴로움
190,피부과를 가봐야 할까요?,괴로움
191,아가가 자꾸 크면 자연분만 힘들어지나요?,괴로움
192,이거 불법 인가요??,괴로움
193,남자들 결혼하면 아내 몰래 바람도 피우고 그러나요,괴로움
194,벗어날 방법이 있을런지요,괴로움
195,곧 헤어질거라는 생각에 연애가 늘 조마조마해요,괴로움
196,크게 다친건 아니죠...??,괴로움
197, 다시 일시작 하면 잘할수 있을까요?,괴로움
198,"어제가 배란일, 가임기덴, 무서워죽겟네요 ..토요일 새벽에 관계는 가졋습니다. 안심해도될까요 ?",괴로움
199,하루하루 불안함을 안고사네요.,괴로움
200,등에 털이 등 중간부터 나기 시작해서 뒷통수까지 이어져있는데 이거는 어찌 해야되요..?,괴로움
201, 남자친구가 떠날까봐요,괴로움
202,오늘 손님들 왜케없지 ..............?,괴로움
203,중국한테도 지면 진짜 개망신이야...,괴로움
204,정말 인간이라구 다 같은 인간은 아닌듯,괴로움
205,영상 복구하면 누군가는 그걸 본다는건데 내가 전여친이면 그상황이 더 끔찍할듯.,괴로움
206,기상캐스터들 옷차림이 다 홀복 수준..,괴로움
207,레알 남자랑도 눈을 대고는 오래동안 못있겠음 ..,괴로움
208,나 우리집 주소 아직도 모름..,괴로움
209, 인사도 못하겠음.,괴로움
210,그런거 시키지 마세요..,괴로움
211,나 같으면 노트7은 못쓴다,괴로움
212,성기 크기가 너무 작아 고민입니다..,괴로움
213,저 승마살이 장난 아니에요;;,괴로움
214,쟤네들 웃기네. 맘에 드는 결과를 얻을때까지 계속 투표할 기세네.,괴로움
215,450억....450억........뭐?? 450억??????,괴로움
216,식칼도 없는데 왠 진검승부,괴로움
217,교도소에서 골목 대장이 되버렸네,괴로움
218,우리애아빠는그스위치어디다둿을까요??,괴로움
219,난해하다......,괴로움
220,진짜..어이없네,괴로움
221,어이가없네..????,괴로움
222,아들은 비싼연봉받고 뭐한거야?,괴로움
223,차태현은 다알고 있었던것 같은데 진심은 무슨,괴로움
224,이건또 뭔 개소리??,괴로움
225,그럼 저 기계는 누가 만들어 줌?,괴로움
226,어깨 툭 치는데 사과쪼개지는 소리가 나는거지?,괴로움
227,정용기 의원이 실수로 반대방향으로들어갔군...,괴로움
228,흥민이는 원톱가면......제발......이것만은...,괴로움
229,배터리 바꾼게 터지는거면원인이뭐지ㅡㅡ,괴로움
230,"물론 시즌말에 가서 떨어질꺼라 예상은 했다만,스크는 나름대로 잘 나가다가 왜 성적이 곤두박질 칠겨?",괴로움
231,저런 중국과 친하게 지내겠다는 더불어민주당 ㅋㅋㅋㅋㅋㅋ,괴로움
232,헉 오마베......,괴로움
233,본인들은 정말 충격적이겠다..ㅠㅜ,괴로움
234,마티즈 광고인줄알았네;;,괴로움
235,쭝궈이 대단하다 예전의 짱꼴라가 아녀,괴로움
236,맨유동료중에 가장 저평가됐다고 생각하는 선수는 누구인가?루니 : 박지성이다.,괴로움
237,10회 정도 해야 왕조지..... 세네번으로 무슨왕조냐,괴로움
238,이노인네는 참,괴로움
239,뭔소리? 기아 대권도전하려면 아직 깜깜 멀었다 ㅡㅡ,괴로움
240,정말떳떳하다면 왜이리 OOO떨까 지발저린모습이네,괴로움
241,받아들인 삼성은 뭐지?,괴로움
242,여성부 예산 보다 적넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,괴로움
243,대놓고싸우자는건가 ㅡㅡ;;;;,괴로움
244,0.056은 약한거 아니냐 지금 이용찬 정찬헌 정성훈 손영민 걸린거보면 싸그리다 취소수준인데,괴로움
245,공중파에서 시청률 잘나오려면 시도때도 없이직업 불문하고 연애질하면 됨,괴로움
246,한 골도 못 넣은게 오로지 선수 개개인의 자질 문제인데 또 감독탓 오지네 ㅎㅎ,괴로움
247,클라리넷은 알아도 클라라는 첨 들어봄..뭐하는거에요?,괴로움
248,김종차관은 이름값 너무 제대로 해버렸네,괴로움
249,순실이가 뒤봐줬는데 우리나라에서 마틴이가 못먹으면 그건 바보지,괴로움
250,서울 대학병원전문의가 ...참 무섭군,괴로움
251,참나.. 야메라니... 기가 막힌다..,괴로움
252,빛은 항상 켜두어야 하는건가,괴로움
253,역대급 거품 실력에비해 원클럽맨하나로 과대포장된 얘보다 스콜스 램파드가 훨씬 커리어가압도적인데,괴로움
254,담배보다 안해롭고 중독성도 없단다,괴로움
255,우리나라로 치면 허각이 당한것과 같은건가,괴로움
256,1쿼터 8:4 프로들 농구 점수 맞냐?,괴로움
257,아직도 장관직에 있나?,괴로움
258,내가 언제 똥을 주워먹었나 ㅡㅡ,괴로움
259,장애인 둘이 대화가 이어나가지나??,괴로움
260,컨택스윙해도 김태균보단 훨씬 넘기는데;;,괴로움
261,오성무를 죽이는 건 말도 안되는 억지.,괴로움
262,한국의 미네소타 트윈스???,괴로움
263,좌좀 손서키야 그게 어때서??,괴로움
264,뭐여..박근혜 구출작전이냐?,괴로움
265,삼적화가 기대 되는건 나뿐이냐?,괴로움
266,작품가가8만유론데 복원금액이 수백만 유로? 배보다 배꼽이 더크네,괴로움
267,기사 내용이 저거밖에 없어? ㅋㅋㅋㅋㅋ,괴로움
268,누가 업뎃도 안하는데 누가 살가요?,괴로움
269,언제 통계냈냐,괴로움
270,깡패가 따로없네ㅋ,괴로움
271,경기 안좋은데최고수치면 뭐지,괴로움
272,비행기 탑승은?,괴로움
273,나만 처음 듣는 상 이름이네. . .,괴로움
274,보아 연기했었나????,괴로움
275,"진에어는 정시출발율도 높고, 대표공항들 지연율도 높은데 어떻게 저럴수가 있지?",괴로움
276,기자님 멕시코어가 아니라 스페인어라고 하는게 맞지 않나요?,괴로움
277,보다보다 이런 꼴은 50평생 처음이다,괴로움
278,일반인들 신검 하면 어디아프다고 말하면 서류 때오라고 하면서 찍소리도 안하고 1급준다 ㅋㅋㅋㅋ,괴로움
279,전술 문제야? 아니면 선수들 문제야?,괴로움
280,얘는 또부상당한겨 ㅋ 부상안당한날이없구만,괴로움
281,표정관리좀 해라.축제 분위기네.,괴로움
282,차우찬 황재균은 쟤들 급은 아닌데...,괴로움
283,중국산만 터진거처럼 얘기하네,괴로움
284,솔직히운전이어렵냐?ㅜㅡㅜ,괴로움
285,아니 전라도 욕하는게 왜 지역감정?,괴로움
286,이렇게 무턱대고 시위하면서. .,괴로움
287,별 세개 기업도 부자인데 왜 로켓 못쏴?,괴로움
288,산천어가 살지도 않는 화천에서 산천어 축제라니...,괴로움
289,2007년에도 음란소설이라고 벌금 받은건가?,괴로움
290,마크제이콥스 본 땄어.,괴로움
291,이게 진정한 양성평등이 맞는건가?,괴로움
292,"진짜 뜬금포, ..",괴로움
293,황당한 기획과..,괴로움
294,완전 전데...?,괴로움
295,올겨울 들어 가장 추운 아침을 맞고 있습니다.?,괴로움
296, 왜 저 얘기를 우리 빼놓고 하지?,괴로움
297,경영공백 우려한 불구속이라고??,괴로움
298, 용도는 아닌데..,괴로움
299, 무어라 할 말이 없네....,괴로움
300, 국회의원이라고?,괴로움
301,불출석했으면서 자백강요?,괴로움
302, 비교할사람이랑 비교를 해야지;;;;,괴로움
303,"음.. 마광수 작품은 음란패설이 담긴 책이고, 참을 수 없는 존재의 가벼움은 명작이다?",괴로움
304,증거는..??????????,괴로움
305,일본 입장에서도 어이없을만하지 ㅋㅋㅋ,괴로움
306,스마트폰 화면 왼쪽 위에 있던 올레 이거 왜 KT로 바뀜?,괴로움
307,정부 관계자는 마치 3자인것처럼 얘기하네,괴로움
308,연예대상이 무한도전 공로상인것처럼 말하네,괴로움
309, 그러면 즐라탄은?,괴로움
310,이렇게 되면... 누군가..... sbs에..... 죽을 때까지 못 나오는 거 아님? ㅋㅋ,괴로움
311,혹은 생각처럼안될수 있는거 아닌가~,괴로움
312,진짜 허탈하네요,괴로움
313, 나만 그런가????,괴로움
314,엥? 여기 네이버 뉴스맞냐?,괴로움
315,그럼 무슨 문제 될게 있나?,괴로움
316, 아직 애기라 그런지목소리가 넘 앵앵거려서 수지 목소리가 원래 저랬나 했음,괴로움
317,좋은 거야 나쁜거야 ㅋ,괴로움
318,왜색논란?,괴로움
319,정부랑 여가부가 게임 다 죽인거 아닌가?,괴로움
320,여러카페에 너무많이올라가서 삭제도안돼요ㅠㅠ,괴로움
321,오늘 당장 저희 부모님께 말씀드리러 가네요....,괴로움
322,그럼 안되는데...,괴로움
323,다 괜찮은거 같은데?4대보험이 없다고 하더라구요;,괴로움
324, 왜이런거죠??,괴로움
325,마법의기간중에 이런적은 처음이네요....,괴로움
326,그렇다고 매달린적도 없는데...,괴로움
327, 왜? 갑자기??? 궁금해요,괴로움
328,도통 여성  스러운게 뭘까,괴로움
329, 바로 질초음파를 하더라고여...,괴로움
330,어떻게 받아들여야 하나요,괴로움
331,ㄷㄷ?ㅠ 일요일아침만 맨날이럼,괴로움
332,네일설전날에중국에서해는데지금까지안지워짐,괴로움
333,남들은 다 아는 애니라서 그 애니에 대해 농담도하고그러는데.,괴로움
334,월급은어덯게줄까요 ..,괴로움
335,어떻게 해야 토요일 오전09시에 끝날수있는건가요?,괴로움
336,우리나라의 현실이 이렇게 심할줄은 몰랐음..,괴로움
337,근데 문제가 저희 휴가증 체계가 바꿔어가지고..,괴로움
338,아침에 전화가 왔는데..,괴로움
339,너한테 실컷 욕했는데..,괴로움
340,저는 받지 않았는데요..,괴로움
341,어쩌다가 베스트 되었네요........식구들한테는 말도못하고..........,괴로움
342, 지난 주말에 첫키스했는데...빠른건가요?,괴로움
343,다른 회사도 이런가요?,괴로움
344,아 슈발근데 학교 가야 하나용..?0,괴로움
345,어느게 정액제고 그렇다면 나머진 하난 뭐죠?,괴로움
346,전여친이 저와 싸우고 상메에 이렇게써놨는데 무슨뜻인가요..,괴로움
347, 되는건가요?,괴로움
348,이렇게 하는게 정상인가요?,괴로움
349,제가이상한거에요?,괴로움
350,웃자고 한애기에 죽자고 달라드는 상황 아닌가요?ㅎㅎ,괴로움
351,내가 김제동이에요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,괴로움
352,세월이 사람을 아이돌빠로 만드네요...ㅠ0,괴로움
353,ㅎㅎㅎㅎ 나 근데 잠와...ㅎ,괴로움
354,어떤식으로해야하지..,괴로움
355, 이런말은없는데;;(알바천국 나온거보니 알바개념도 될듯하네요,괴로움
356,사진을 도용당햇어요,괴로움
357,어떻게 해야할까요.,괴로움
358,저는 초등학교 6학년이고 제가 5학년이 제가무섭다는 소문도 듣고 날라리라는 이야기를 오늘들었어요...,괴로움
359,이럴땐 또 어떡해야 되는지;,괴로움
360,어떠캄 자주 올것만 같음...,괴로움
361,그런 사람들의 심리는 도대체 뭔가요?,괴로움
362,이게 무슨 말이죠;;?,괴로움
363,연애중은 내렸는데 친구는 안끊네여..,괴로움
364, 사장님 불러야하나?,괴로움
365,혼자막 꽃단장해서 간다거나;,괴로움
366,어떻게 마무리하쥐.,괴로움
367, ㅅㅄㅂ? 이거 어케해야함..?,괴로움
368,사람들이 군인들은 제대하고 나면 여자친구도 차버린다고 하던데..,괴로움
369, 체육바지같은게 없는데 어떡해야할까요??,괴로움
370,가운데서 애매해서 어찌해야할지 모르겠네요..,괴로움
371,일하는데 담배 안핀다고 하니까..,괴로움
372, 남친이 오늘따라 성욕구이넘치나봐요.,괴로움
373,딸은 유치원에서 선생님께 욕했다네요,괴로움
374,아 어떡하죠,괴로움
375, 이런 생각이나 할텐데자기를 음란하게 생각할텐데누가 자기 다리 쳐다보는건 싫어하면서 짧은 치마는 왜 입는건지?0,괴로움
376, 감정이 앞서서 빨리 잊고싶다는 생각듬...이런거는 뭐죠..?,괴로움
377,제목그대로 썸녀라고 생각한 친구에게 어느날 남자친구가 생기면 어떨꺼같아요??,괴로움
378,  뭘로 고를지 요즘넘고민이예요ㅎ,괴로움
379,이거 어케해야함?,괴로움
380, 요번주만해도 여자두명이랑연락햇는데 친구추천에 두명다떠서 당황;,괴로움
381, 이랬는데 언니가  안녕히 가세요,괴로움
382,안녕하세요~방제이탈인지 몰겠네요^^;;,괴로움
383,지금 이순간 너무 심심한게 고민이네요..;;,괴로움
384, 근데 그여자는 애가둘이 있네요,괴로움
385, 언니들은 그런 상황이 왔을 때  상대방한테 무슨 생각이 들어요??,괴로움
386,논산만 그러나 ..,괴로움
387, 대체왜 거기서 그러고 가는거에요?,괴로움
388,항상 면회만가봤지 외박나와서 데이트하는건 처음이라서 어디를 가얄지 모르겠어요ㅠㅠ,괴로움
389,그덕에 좋아하는 분까지도 싫어하는 줄오해받은 상황....,괴로움
390,아웅 ㅠ둘중에 뭘로하져..?,괴로움
391,"근데,막상하니까,또 잘안되더라구요..",괴로움
392,왜이러는거죠,괴로움
393,제가 번호물어봤는데 얘기하다가 여자분 아버지분이신지 오셔서 가자고 하더라구요..,괴로움
394,아니야정말 그런의미일수도있어  또기대하게되고..,괴로움
395,다른 손님들도 보고 있는데?,괴로움
396,어리지도 많지도 않은 애매한 나이인것같아요,괴로움
397, 누가봐도 그 동생이 좋아하는 건데 자기는 아니라고 하더라고요.,괴로움
398,이번방학에 토스 해보려고 하는데요인강은 제가 잘 할수있을지 모르겠어요;;,괴로움
399,흠 뭐라고 해야 할까여?0,괴로움
400, 라고 말씀드리면 될까요..??,괴로움
401,만약 제가 먼저 편지를 보내면 걔는 어떻게 생각할까요?,괴로움
402,관장할때 아프다는 분들이 있던데 어떡해 하길래 아파요??,괴로움
403, 근데 내가 이거 나오냐고 카메라를 들어갈라다가 실수로 게임을 눌림,괴로움
404,일주일에 한번씩 전화 오다가 이틀에 한번씩 올때도 있구여..,괴로움
405,"다른게 아니라, 제가 이상한건지 해서요.",괴로움
406,물어줘야하나영 엉엉0,괴로움
407,아직 회사에 아가 있다고 말도 못했는데 ㅜ잉 ㅠㅠ,괴로움
408,프로필사진에는 아랍인처럼 안생겼던데..,괴로움
409, 주차장 상태상 시야확보가 되질 않아서..,괴로움
410, 여태까지 많은 회사를 다녔어도 정상인인과장님을 찾기란 어려웠음;;;;,괴로움
411,참 혼란스럽달까요?,괴로움
412,그런데집에서는 자꾸 월급이 얼만지 얼마나 모았는지를물어보라는데.......,괴로움
413,카톡 차단 풀린줄 알고 전화했는데 여전히 차단이네요,괴로움
414,자기가 일 못하고 있는것도 제 탓이라고 하고 가버리네요,괴로움
415,오늘 대뜸 전화 오더니만 니 통장이 잘못됬다,괴로움
416,웨이트 열심히 하는여자 이상한가요?????????? ???,괴로움
417,여태까지의  당신의 선택이  당신을 다시 태어난 것 처럼 힘솟게 했나요...,괴로움
418, 이거 외엔 기억이 안나네요.0,괴로움
419,자긴 결혼을 못할거라며 부모님 도움 받지않을거라던 사람이..무슨 사정이 있는지는 모르겠지만...,괴로움
420,아니근데..신입인거 알고 연락을줬을텐데..,괴로움
421,운동하는데 단백질섭취때문에 먹어보려 하는데별루인가요?,괴로움
422,처음보는 닉밖에 없음ㅇㅇ어쩌죠??0,괴로움
423,11월에 수료식인데 엄마 생신이랑 겹쳤어요ㅠ,괴로움
424,군대 가기 전까지는 진짜 아무일 없이 친구사이였다가도군대가고나면 너무 외로워서그 친구가 여자로 보이고좋게?,괴로움
425,모임에서 번호 따가놓고전화도 많이하고 카톡도 많이하고그러더니다시 만나고 연락 없는건 뭘까,괴로움
426,다른분들은 ....?,괴로움
427,또안없어지니까 또하더라구요;,괴로움
428, 망설여지네요,괴로움
429,아니 썸타던 남자애한테 정말 맘먹고 고백 했는데 뭐 자기 혼란스럽다,괴로움
430,친구가 정신병같다고 병원가라는데 진심 이게 병원갈정도 인가여,괴로움
431,나에대한 내신상를 캐묻지 않나...,괴로움
432,애기들이 좋아하는 맛은 아니였어요ㅋㅋㅋ,괴로움
433,26인치인가 28인치인가 그렇더군요..;;;,괴로움
434, 원래 야간알바들 이런가요?;;,괴로움
435,그래서 여기서말한거와달리 엄청 쳐다보기도 했다.,괴로움
436,근데 남자친구가 집이 잘사는것도 아니고...,괴로움
437,아 제가 너무 변태같네여 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,괴로움
438,아무것두아니고..,괴로움
439,이렇게 우유부단해서 연애는어떻게할지 모르겠어요 ㅠㅠ,괴로움
440,남자친구가 어디든지..?놀러가고싶다구 그래서요;;,괴로움
441,감정에 휘둘리다니!1,괴로움
442, 이렇게 얘기하는데남자친구는 너네엄마가 뭐뭐하겠다이렇게 얘길 하더라구요,괴로움
443,근데 생각해보니정말로면접만 보러 다니는 것만해도...,괴로움
444, 그래서 잘 치는 건지...,괴로움
445,신인개그맨 이상이 되어야 가능한가보네요.   -_-;;;,괴로움
